a bad lot,калпазанин
a bar of soap,калъп сапун
a couple of,няколко
a far cry,далеч/голяма разлика
a few,няколко
a go at,опитвам се
a good bearer,плодородно дърво/плодовито животно
a good deal,много
a good half,повече от половината
a good many,доста много
a good way,доста път
a gread many,твърде много
a great deal,много
a la carte,от листа за ядене/по избор
a large one,голям
a large order,трудна задача/невъзможно искане
a long way,далеч
a lot of,много
a matter of course,нещо естествено/в реда на нещата
a near touch,премеждие
a plea for mercy,молба за помилване
a world of,безброй
aback,назад/заднешком
abandon,изоставям/напускам
abandoned,изоставен/безпътен/загубен
abandonment,изоставяне/увлечение
abase,унижавам/понижавам
abasement,унижение/понижаване
abash,засрамвам/смущавам
abate,намалявам/отслабвам/стихвам
abatement,намаляване/отслабване/отстъпка
abbess,игуменка
abbey,манастир/абатство
abbot,игумен
abbreviate,съкращавам/скъсявам
abbreviation,съкращение
abdicate,абдикирам/отказвам се
abdikation,абдикиране/отказване/отказ
abduct,отвличам
abduction,отвличане
abed,на легло
aberration,отклонение/грешка
abet,подстрекавам
abhor,гнуся се/мразя
abidance,престой/спазване/съблюдаване
abide,пребивавам/чакам/търпя
abided,пребивавах/стоях/чаках/търпях/чакан/търпян
abiding,траен/постоянен
abigail,камериерка/прислужница
ability,способност
abject,изпаднал/жалък/презрян/раболепен
ablaze,пламнал/пламтящ
able,способен
able-bodied,силен/здрав
able-minded,интелигентен
abloom,в разцвет
ably,сръчно/майсторски
abnegation,отказване/отричане/саможертвувание
abnormal,необикновен/ненормален/неправилен/неестествен
abnormality,аномалия
abnormity,аномалия
aboard,на парахода/във вагона/на борда
abode,пребивавах/чаках/търпях/чакан/търпян
abolish,премахвам/отменям/унищожавам
abolition,унищожаване/премахване/оттегляне/закриване
abominable,отвратителен/омразен/противен
abominate,отвращавам се/ненавиждам/мразя
abomination,отвращение
aboriginal,първобитен/туземен/туземец
aborigines,туземци
abortion,недоносче/аборт/неуспех/несполука
abound in,изобилствувам
about,наоколо/почти/наблизо/около/за/относно
about face,кръгом
about turn,кръгом
above,над/повече/от/горе/по-горе
above all,преди всичко
above ground,жив
above reach,недосегаем/недостъпен/неизпълним
abrade,изтривам/почиствам
abrasion,протриване
abreast,един до друг/наред
abreast of,наред с
abridgement,съкращение
abroad,навън/на открито/в чужбина/в заблуждение
abrogate,отменям/анулирам
abrupt,рязък/стръмен/внезапен
abscess,абсцес/цирей/шупла
abscond,укривам се/избягвам
absence of mind,разсеяност
absense,отсъствие
absent,отсъствуващ/отсъствувам
absentee,отсъствуващ
absently,разсеяно
absinth,пелин/абсент
absolute,пълен/неограничен/безусловен/чист/независим/несвързан/положителен
absolutely,напълно/абсолютно/неограничено
absolution,опрощение/освобождаване от отговорност
absolve,освобождавам/опрощавам/оправдавам
absorb,попивам/поглъщам/всмуквам/усвоявам
absorbed,потънал/погълнат
absorbing,увлекателен
absorption,поглъщане/усвояване/унесеност/задълбочаване/абсорбция
abstain,въздържам се
abstainer,въздържател/въздържал се
abstemious,въздържан/скромен/пестелив
abstention,въздържаност/въздържал се
abstinence,въздържане/умереност/трезвеност
abstinent,умерен
abstract,отвлечен/отвлечено понятие/резюме/извлечение/абстрактен/теоретичен/изваждам/отвличам/резюмирам
abstraction,отвлеченост/разсеяност/кражба
abstruse,дълбок/неясен/мъчен за разбиране
absurd,смешен/глупав/нелеп
abundance,изобилие
abundant,изобилен/богат
abuse,злоупотребявам/ругая/злоупотреба/ругаене/хулене
abusive,оскърбителен
abut,опирам о/гранича с/опора
abutment,подпора/допирна точка
abysm,бездна/пропаст
abyss,бездна/прораст
abyssal,бездънен
academicism,формализъм
academy,академия
accede,съгласявам се/приемам
accede to,приемам
accelerate,ускорявам
acceleration,ускорение
accelerator,ускорител/катализатор
accent,ударение/подчертавам
accentuate,подчертавам/слагам ударение
accept,приемам/разбирам/съгласявам се с
acceptable,приемлив
acceptance,приемане/одобрение
acceptation,значение(на дума)
access,достъп/подход/пристъп/увеличение
accessary,принадлежности/съучастник
accessible,достъпен/открит/податлив/достижим
accession,приближаване/допълнение/прираст
accessories,арматура/принадлежности
accessory,спомагателен/допълнителен/второстепенен
accidence,морфология/основа на предмет
accident,случайност/злополука/нещастие/катастрофа
accidental,случаен/неочакван/случайност
acclaim,провъзгласявам/одобрявам/възторжен вик
acclamation,(вик на)одобрение/акламация/акламирам/аплодирам/приветсвувам
acclimatize,аклиматизирам
acclivity,стръмнина
accommodate,настанявам/приспособявам
accommodating,услужлив/сговорчив/приспособяващ се
accommodation,настаняване/квартира/приспособяване/удобство
accompaniment,съпровод
accompany,придружавам/съпровождам/пригласям
accomplice,съучастник
accomplish,извършвам/довеждам до край/свършвам/постигам
